conn_count_uid_in	conn_count_uid_out	dns_count_uid_out	http_count_uid_in	ssl_count_uid_in
11407	1171	44	2894	228
16907	2429	950	540	319
18300	2236	685	464	228
18677	1826	654	474	245
19093	2392	746	484	336
15106	2111	441	1147	307
11403	1552	157	956	273
10481	1978	575	574	339
16281	1738	268	641	243
24353	1851	406	731	249
24775	1798	494	584	327
19130	2054	412	910	340
13544	2044	379	735	239
14272	2321	1048	678	311
30092	3166	1567	591	221
37297	3222	1615	622	273
36116	2104	874	643	328
28688	1999	512	1885	297
16367	1785	296	2791	255
11855	1785	466	723	325
11638	1544	191	588	377
13226	1711	157	663	271
12579	1767	74	693	330
11312	1247	154	2460	297
11438	1685	106	1572	247
11037	2793	544	817	391
10449	1431	172	673	248
9940	1562	199	760	291
10191	1564	76	790	341
18870	3142	296	7902	462
14481	1574	88	4473	238
12323	2290	1278	714	405
11335	1804	258	710	236
10754	1889	368	584	242
11491	2313	654	642	362
15691	1379	198	1737	290
12818	1795	260	2206	253
11980	2365	815	610	315
10970	1903	352	550	401
10521	1841	514	717	281
11572	1738	399	487	365
12376	2139	570	1069	296
14042	2277	673	834	295
12047	2726	1260	531	366
13671	1845	643	758	285
11500	2430	871	634	261
11765	1888	221	650	406
12900	2198	378	871	381
11360	1874	328	1026	282
18014	2396	984	521	421
28193	2726	1085	592	247
13859	2241	562	519	267
13722	1665	523	682	339
22952	2816	1228	569	317
31753	2526	1191	563	234
35513	3301	2128	570	262
31529	3382	1779	645	209
19418	2904	1381	529	246
13571	2348	1046	815	353
13175	2299	714	2457	276
12684	1866	361	1699	332
12398	2652	865	713	374
11052	2187	527	906	220
11495	1955	426	736	242
11198	1707	388	935	389
17073	3348	474	7968	336
15071	1981	331	4676	280
12039	2459	944	866	377
20202	2512	859	742	287
20982	2349	1014	682	314
21730	2791	1184	621	352
17545	2202	592	1884	331
14838	1797	371	2278	314
11457	2149	685	637	393
13421	1937	266	857	298
10871	1633	198	822	298
10950	1646	308	874	377
11807	1895	495	1248	302
10671	1865	484	1008	301
11529	1943	725	878	339
11035	1984	354	789	260
11092	2038	592	748	241
10043	2007	612	766	320
10670	1810	172	993	320
10586	1609	374	925	259
9953	2337	860	693	337
9931	2379	765	706	219
12746	1677	611	938	259
